Site,Year,Month,Samp,Period,A,BG,F,RB,BD,Ram,AS,BS,FS,RBS,PH,WD,AT
UI,2022,October,11,13,19.587,34.74,0.704,5.537,122,23,1.0454,25.1640,.,23.6873,89,9,12.06
UI,2022,October,12,13,16.435,29.386,.,4.181,83,14,1.0454,25.1640,.,23.6873,130,14,12.06
UI,2022,October,13,13,13.965,13.615,.,10.37,209,17,1.0454,25.1640,.,23.6873,101,18,12.06
UI,2022,October,14,13,3.727,5.848,.,2.196,60,12,1.0454,25.1640,.,23.6873,45,0,12.06
UI,2022,October,15,13,9.774,10.852,.,17.319,452,24,1.0454,25.1640,.,23.6873,76,14,12.06
UI,2022,October,16,13,6.747,17.134,.,6.387,192,29,0.7580,17.8885,.,23.4362,54,0,12.06
UI,2022,October,17,13,8.95,24.734,.,5.026,176,32,0.7580,17.8885,.,23.4362,74,18,12.06
UI,2022,October,18,13,5.404,5.358,.,2.745,76,10,0.7580,17.8885,.,23.4362,60,0,12.06
UI,2022,October,19,13,16.057,21.895,.,9.339,234,31,0.7580,17.8885,.,23.4362,78,2,12.06
UI,2022,October,20,13,10.002,21.01,.,11.026,313,38,0.7580,17.8885,.,23.4362,57,0,12.06
UI,2022,November,1,14,20.256,11.88,.,11.891,271,29,0.5394,12.2927,.,24.0385,130,10,11.16
UI,2022,November,2,14,7.59,14.769,.,11.471,261,22,0.5394,12.2927,.,24.0385,102,0,11.16
UI,2022,November,3,14,7.553,2.304,.,1.909,52,16,0.5394,12.2927,.,24.0385,115,0,11.16
UI,2022,November,4,14,2.985,7.399,.,3.155,70,12,0.5394,12.2927,.,24.0385,75,0,11.16
UI,2022,November,5,14,2.663,4.552,.,1.107,21,5,0.5394,12.2927,.,24.0385,100,0,11.16
UI,2022,November,6,14,5.009,30.109,.,13.256,300,17,0.5122,31.6585,.,26.1492,115,0,11.16
UI,2022,November,7,14,3.179,19.218,.,8.142,229,24,0.5122,31.6585,.,26.1492,62,0,11.16
UI,2022,November,8,14,1.821,11.608,.,7.951,133,34,0.5122,31.6585,.,26.1492,47,0,11.16
UI,2022,November,9,14,7.845,7.464,.,13.319,282,16,0.5122,31.6585,.,26.1492,86,0,11.16
UI,2022,November,10,14,5.34,9.85,.,8.081,93,16,0.5122,31.6585,.,26.1492,120,0,11.16
UI,2022,November,11,14,6.919,15.901,.,4.851,110,45,0.4456,31.1210,.,24.4363,51,0,11.16
UI,2022,November,12,14,4.24,4.027,.,1.191,35,43,0.4456,31.1210,.,24.4363,46,0,11.16
UI,2022,November,13,14,5.314,10.197,.,1.751,39,15,0.4456,31.1210,.,24.4363,68,0,11.16
UI,2022,November,14,14,3.483,4.96,.,2.913,72,13,0.4456,31.1210,.,24.4363,107,0,11.16
UI,2022,November,15,14,9.819,10.104,.,5.74,119,25,0.4456,31.1210,.,24.4363,128,33,11.16
UI,2022,November,16,14,1.997,4.321,.,1.536,24,12,0.4925,30.9024,.,27.2195,98,2,11.16
UI,2022,November,17,14,3.04,8.613,.,3.01,68,26,0.4925,30.9024,.,27.2195,43,0,11.16
UI,2022,November,18,14,7.636,10.616,.,5.383,201,25,0.4925,30.9024,.,27.2195,63,0,11.16
UI,2022,November,19,14,7.837,30.643,.,4.381,135,18,0.4925,30.9024,.,27.2195,66,0,11.16
UI,2022,November,20,14,2.686,21.169,.,10.67,247,24,0.4925,30.9024,.,27.2195,73,0,11.16
